"thank you .
","vielen dank .
",2,2
"what do you see ?
","was ist passiert ?
",4,3
"and i do n't want to be able to be able to be able to be able to be able to be able to do it .
","ich wurde regelrecht für diese rolle geboren und sie gaben sie einer schauspielerin ohne cp .
",26,15
"and you can see that you can see , you can see that you can see , you can see , and you can see , you can see the <unk> .
","ich begann über textilien nachzudenken , wie eine schale aus beton mit , welche die luft einlassen , und das licht , aber in form .
",31,25
"i wanted to do it .
","also wendete ich mich büchern zu .
",5,6
"and i do n't know , but i do n't know that it 's been <unk> .
","jetzt , fünf jahre später , ist sie für museen .
",16,10
"and i do n't know , but i do n't know , but i do n't be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","einen großteil des nächsten jahres verbrachte ich nicht nur damit , mein gedächtnis zu trainieren , sondern auch damit , es zu untersuchen und zu verstehen , wie es funktioniert , warum es manchmal nicht funktioniert und was sein potenzial sein könnte .
",46,42
"you can see it .
","dieser mensch geht spazieren .
",4,4
"i want to talk about what i want to talk about a story .
","ich möchte mit ihnen über die geschichte eines sprechen .
",13,9
"and i do n't know , "" i do n't know , "" i do n't want to do it . ""
","ich sagte : "" entschuldigung , aber wenn ich die stunts nicht kann , dann kann der charakter sie auch nicht . ""
",21,22
"so what do we do now ?
","nehmen wir diese geschichte so auf ?
",6,6
"he said , "" he said , "" </s> </s>
","sie ist die und frau der amerikanischen literatur .
",9,8
"and i do n't know that you do n't know that you do n't have to do n't have to do it .
","unsere daten zeigen klar , dass viele talentierte leute ihrer hingabe einfach nicht treu bleiben .
",22,15
"and then , you can see the <unk> , you can see the <unk> .
","fahrräder , räder , alles fliegt kreuz und quer . sich in stellen .
",14,13
"and you can see that you can see that you can see that you can see that you can see the <unk> , you can see the <unk> , you can see the <unk> , and you can see the <unk> <unk> .
","dadurch , dass ein transparenter bildschirm und zum erfassen von fingern und gesicht kombiniert werden , kann man nun seine hände von der tastatur hochheben , in den greifen und pixel mit den bloßen händen anfassen .
",42,36
"and what do you do is that you know , you know , you know , you know , you know , you know , right ?
","wie man es auch dreht oder wo das "" uns "" auch sein mag , wer räumt hinter uns in istanbul auf ?
",26,22
"now , this is that this is a <unk> , and it 's a lot of <unk> , and it 's called <unk> , and it 's called <unk> .
","die stätte liegt im ägyptischen und sie ist sehr bedeutsam , weil es im mittleren reich eine große renaissance für kunst , architektur und religion gab .
",29,26
"now , i want to talk about three minutes .
","im zusammenhang kann es auch für den nächsten tag stehen .
",9,10
"now , we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s> . </s> .
","das sieht vielleicht nicht nach viel aus , aber wenn man die steine betrachtet , die von im mittleren reich benutzt wurden , dann findet man genau diese steine .
",45,29
"and i wanted to talk about it .
","zuerst dachte ich , dass ich wollte .
",7,7
"i 'm going to talk about three years ago .
","ich ging zu dem selben wettkampf , den ich ein jahr früher besucht hatte
",9,13
"and he said , "" well , "" well , "" well , "" well , "" well , "" well , "" </s>
",": möge gott deiner seele sein , papa . mein name ist , "" wenn ich können kann , könnt ihr das auch . ""
",23,24
"and he said , "" well , "" well , "" i 'm going to make a <unk> <unk> . ""
","das war vor dem 11 . september , und bevor politiker es für angebracht hielten , "" ich hasse moslems "" als zu verwenden .
",20,24
"and what do you do is that you do you do you know , you know , you know , right ?
","sagt er uns etwa damit , dass wir uns grausame frauen suchen sollen ?
",21,13
"now , you can see that you can see a <unk> <unk> .
","beide projekte sind in schwellenländern , eines in äthiopien und eines in tunesien .
",12,13
"and he was a <unk> , and he was a <unk> , and he was a <unk> .
","plötzlich lässt es zu , dieses genie zu bewundern , das er ihm vorher hat .
",17,15
"he said , "" well , he said , "" </s>
","ich wurde als gast in die "" with keith "" eingeladen .
",10,11
"and i do n't know , i do n't know , but i do n't know , but i do n't have a <unk> . </s> .
","ja , die leute lassen sich später nieder als früher , aber das machte alex ' 20er nicht zum .
",26,19
"and i do n't want to be able to be able to be able to be able to do .
","daher denke ich , dass eifersucht uns nicht dazu bringt , gewalttätige oder illegale dinge zu tun .
",19,17
"and it 's a little bit , but it 's a little bit of it .
","aber emma brauchte keine therapeutin , die sich wirklich , wirklich um sie kümmerte .
",15,14
"and i did n't know that i did n't know that i did n't know that i did n't know , but i did n't know , and i did n't know , i did n't know that i did n't know .
","ich fuhr mit den lastwagen , lief die routen ab und interviewte menschen in büros und anlagen in der ganzen stadt . ich lernte eine menge , aber ich war immer noch ein außenseiter .
",42,34
"and what do you do you have to do you do you have to do you know , right ?
","und sprechen diese frauen zu irgendeinem zeitpunkt des filmes miteinander ?
",19,10
"we do n't do it .
","das reicht nicht .
",5,3
"and i 'm going to talk about how we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to do it . </s> </s> </s>
","wissen sie , als ein elternteil , das das privileg hat , eine tochter , genauso wie diejenigen unter ihnen , die das gleiche tun , finden wir diese welt und diese statistiken sehr alarmierend und wir wollen sie vorbereiten .
",44,40
"and i do n't want to be able to be able to be able to be able to be a <unk> .
","erstens , erzählte ich emma , sie hätte keine , sie solle sich vielmehr ein aneignen
",21,15
"and it 's not just a lot of <unk> , but it 's going to be <unk> , but it 's going to be a lot of <unk> , but it 's going to be <unk> .
","heute kommen weniger als zwei prozent des energieverbrauchs der erde von fortgeschrittenen , erneuerbaren quellen , wie solarenergie , wind und , weniger als zwei prozent , und der grund dafür ist rein wirtschaftlich .
",36,34
"and i 'm going to talk about how i 'm going to be able to be able to make a <unk> .
","ich wollte vielleicht etwas längeres über diese des schreiben .
",21,9
"and i 'm going to talk about it , and i 'm going to talk about what i 'm going to do . </s> .
","so etwas passiert . ich habe es gesehen , und trotzdem sehe ich es ziemlich selten in den filmen , die wir kennen und lieben .
",24,25
"and he said , "" well , he said , "" well , you know , you know , you know , you know , "" </s> .
","ihre kleider bedecken nur das , sie singt "" hit me baby one more time "" , während sie auf deinem tanzt .
",27,22
"it 's a lot .
","aber diese muscheln sind schwer zu finden .
",4,7
"and we 're going to do , and we 're going to do that we 're going to do , and we 're going to be able to do . </s> .
","sein zweck ist es , uns mit dem in berührung zu bringen , woher träume stammen , wo unsere leidenschaft und unser glück herkommen .
",31,24
"and i 'm going to say that i 'm going to say that i 'm going to say that i 'm going to say that i 'm going to be a <unk> <unk> . </s> .
","2003 begannen mein bruder von einer anderen mutter und vater , dean , und ich mit dem new yorker amerikanischen , das jetzt schon sein feiert .
",35,26
"it 's a little bit more than you can be able to do it . </s> .
","aber letztendlich ist vertrauen dadurch charakterisiert , dass es einem von anderen gegeben wird .
",16,14
"and i do n't know , i do n't know , but i do n't know .
","er war zu diesem nicht eingeladen . dafür war er noch zu jung .
",16,13
"and this is that i 've been able to understand the <unk> .
","im grunde verbindet die sprache der wissenschaft und der eifersucht .
",12,10
"and i 'm going to talk about three days , and i 'm going to go to go to go .
","man bekommt sie nur durch unfälle , wie der , der am tag meiner geburt geschah .
",20,16
"and they 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to do . </s> </s> </s> </s>
","diese idee wurde an der stanford university von carol entwickelt und umfasst die überzeugung , dass die fähigkeit zu lernen nicht festgelegt ist , sondern , dass sie sich mit ihrem einsatz verändern kann .
",46,34
"i do n't know .
","aber ich mag .
",4,3
"it 's not just a little bit like this is a little bit .
","die behinderten sind die größten -- ja . das ist einen applaus wert . los .
",13,15
"and you know , you know , you know , right ?
","sind sie kompetent ? sind sie ehrlich ? sind sie verlässlich ?
",11,11
"it 's a <unk> , and it 's called <unk> .
","oftmals ist es die jugend , die unter der hohen arbeitslosigkeit leidet .
",10,12
"and we 're trying to build a group of people .
","diese jungen unternehmen haben eine enorme auswirkung auf ihre städte .
",10,10
"thank you .
","danke .
",2,1
"and then , we did n't know , we did n't know , and we did n't know , we did n't know ,
","sein name ist und wir arbeiteten oft zusammen ; schließlich wurden wir gute freunde .
",23,14
"i 'm going to talk about it , and i 'm going to do it .
","ich nicht den kapitalismus , ich weise nur auf die hin .
",15,11
"and this is the <unk> , and it 's called <unk> .
","zunächst einmal gibt es in "" der zauberer von oz "" sehr wenig gewalt .
",11,14
"so this is called <unk> .
","das ist ein "" berg "" .
",5,6
"now , we 're going to do it .
","aber unsere hände bleiben immer noch außerhalb des bildschirms .
",8,9
"and i do n't have to be able to be able to be able to be able to be able to be able to be able to be able to make it . </s> . </s> .
","zeigt man sich dem gegenüber als verletzlich , ist das ein sehr guter hinweis , dass man vertrauenswürdig ist , und dass man seinen eigenen worten glauben schenkt .
",36,28
"so , we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be <unk> . </s> . </s> .
","es gibt keinen kampf wie den kalten krieg , keinen politiker wie john kennedy , der alles schwierige und gefährliche zu einer macht , und keine beliebte wie die erforschung des sonnensystems .
",42,32
